step,step_loss,lr
1,0.256560,0.00000050
2,0.466872,0.00000100
3,0.360539,0.00000150
4,0.445888,0.00000200
5,0.166307,0.00000250
6,0.507208,0.00000300
7,0.284394,0.00000350
8,0.169055,0.00000400
9,0.401537,0.00000450
10,0.401784,0.00000500
11,0.398487,0.00000550
12,0.489328,0.00000600
13,0.540353,0.00000650
14,0.282820,0.00000700
15,0.284471,0.00000750
16,0.296823,0.00000800
17,0.338936,0.00000850
18,0.499650,0.00000900
19,0.335815,0.00000950
20,0.326198,0.00001000
21,0.145843,0.00001050
22,0.181958,0.00001100
23,0.257947,0.00001150
24,0.469419,0.00001200
25,0.398499,0.00001250
26,0.254242,0.00001300
27,0.615313,0.00001350
28,0.113514,0.00001400
29,0.527275,0.00001450
30,0.354538,0.00001500
31,0.306238,0.00001550
32,0.276460,0.00001600
33,0.357544,0.00001650
34,0.373776,0.00001700
35,0.671139,0.00001750
36,0.286287,0.00001800
37,0.398349,0.00001850
38,0.323760,0.00001900
39,0.195803,0.00001950
40,0.261707,0.00002000
41,0.302808,0.00002050
42,0.236253,0.00002100
43,0.381990,0.00002150
44,0.291536,0.00002200
45,0.238263,0.00002250
46,0.408553,0.00002300
47,0.161895,0.00002350
48,0.261980,0.00002400
49,0.450726,0.00002450
50,0.418965,0.00002500
51,0.333665,0.00002550
52,0.255736,0.00002600
53,0.316011,0.00002650
54,0.214742,0.00002700
55,0.141407,0.00002750
56,0.227646,0.00002800
57,0.354845,0.00002850
58,0.485512,0.00002900
59,0.335829,0.00002950
60,0.152602,0.00003000
61,0.444216,0.00003050
62,0.375359,0.00003100
63,0.711262,0.00003150
64,0.252222,0.00003200
65,0.339011,0.00003250
66,0.367447,0.00003300
67,0.381048,0.00003350
68,0.182952,0.00003400
69,0.232383,0.00003450
70,0.120474,0.00003500
71,0.436705,0.00003550
72,0.426014,0.00003600
73,0.205520,0.00003650
74,0.272730,0.00003700
75,0.093235,0.00003750
76,0.134617,0.00003800
77,0.041417,0.00003850
78,0.278766,0.00003900
79,0.414442,0.00003950
80,0.273309,0.00004000
81,0.364511,0.00004050
82,0.421748,0.00004100
83,0.163170,0.00004150
84,0.191987,0.00004200
85,0.110207,0.00004250
86,0.258370,0.00004300
87,0.281765,0.00004350
88,0.313230,0.00004400
89,0.231867,0.00004450
90,0.254239,0.00004500
91,0.338253,0.00004550
92,0.260440,0.00004600
93,0.212789,0.00004650
94,0.316237,0.00004700
95,0.216394,0.00004750
96,0.161908,0.00004800
97,0.173150,0.00004850
98,0.451352,0.00004900
99,0.381180,0.00004950
100,0.289640,0.00005000
101,0.339639,0.00005050
102,0.239790,0.00005100
103,0.155051,0.00005150
104,0.222236,0.00005200
105,0.022859,0.00005250
106,0.152001,0.00005300
107,0.248244,0.00005350
108,0.439716,0.00005400
